Conf|	Rayon Giration	|	Distance		|		RMSD		|	Ratio Giration	|	Correlation	(p-value)
REF	|	17.44799		|			0
0	|	17.44799		|	11.52142	(+/-3.16805)	|	0.0	(+/-0.0)	|	1.0		|	1.0	(0.0)
1	|	18.11583		|	11.77183	(+/-3.18611)	|	0.86799	(+/-0.47651)	|	1.03828		|	0.31865	(0.00234)
2	|	17.67401		|	11.66863	(+/-3.17292)	|	0.88152	(+/-0.49843)	|	1.01295		|	0.56597	(0.0)
3	|	17.5698		|	11.68102	(+/-3.22537)	|	0.85273	(+/-0.46669)	|	1.00698		|	0.5293	(0.0)
4	|	17.32924		|	11.68771	(+/-3.24378)	|	0.94399	(+/-0.54264)	|	0.99319		|	0.5013	(0.0)
5	|	17.47881		|	11.66728	(+/-3.16771)	|	0.93098	(+/-0.5091)	|	1.00177		|	0.42248	(4e-05)
6	|	17.6068		|	11.60075	(+/-3.14427)	|	0.99959	(+/-0.60383)	|	1.0091		|	0.44357	(1e-05)
7	|	17.55853		|	11.64054	(+/-3.155)	|	1.09554	(+/-0.7227)	|	1.00634		|	0.43513	(2e-05)
8	|	17.61438		|	11.65602	(+/-3.10892)	|	0.97516	(+/-0.67899)	|	1.00954		|	0.37873	(0.00025)
9	|	17.19766		|	11.62103	(+/-3.09557)	|	0.94666	(+/-0.64523)	|	0.98565		|	0.32328	(0.002)
10	|	17.28836		|	11.6629	(+/-3.15632)	|	1.01255	(+/-0.6912)	|	0.99085		|	0.38622	(0.00019)
11	|	17.45356		|	11.61128	(+/-3.14037)	|	0.93737	(+/-0.57772)	|	1.00032		|	0.39549	(0.00013)
12	|	17.81976		|	11.6855	(+/-3.16479)	|	0.99741	(+/-0.71664)	|	1.02131		|	0.42645	(3e-05)
13	|	18.00168		|	11.6974	(+/-3.16736)	|	1.00358	(+/-0.66887)	|	1.03173		|	0.39637	(0.00012)
14	|	17.89576		|	11.65447	(+/-3.1548)	|	1.00691	(+/-0.63235)	|	1.02566		|	0.44037	(2e-05)
15	|	17.33682		|	11.67348	(+/-3.17143)	|	1.11245	(+/-0.73396)	|	0.99363		|	0.44452	(1e-05)
16	|	17.59173		|	11.75024	(+/-3.18073)	|	1.07424	(+/-0.76979)	|	1.00824		|	0.41839	(5e-05)
17	|	17.41069		|	11.74804	(+/-3.14807)	|	1.03436	(+/-0.69255)	|	0.99786		|	0.47296	(0.0)
18	|	17.5737		|	11.71659	(+/-3.13011)	|	1.146	(+/-0.62103)	|	1.00721		|	0.53165	(0.0)
19	|	17.77399		|	11.75261	(+/-3.17604)	|	1.15888	(+/-0.6498)	|	1.01868		|	0.47943	(0.0)
20	|	17.76904		|	11.81278	(+/-3.24162)	|	1.1814	(+/-0.74452)	|	1.0184		|	0.44554	(1e-05)
21	|	17.52661		|	11.72346	(+/-3.17868)	|	1.23292	(+/-0.73051)	|	1.00451		|	0.54057	(0.0)
22	|	17.71365		|	11.70358	(+/-3.14303)	|	1.12652	(+/-0.75318)	|	1.01523		|	0.50676	(0.0)
23	|	17.27707		|	11.72593	(+/-3.13596)	|	1.10502	(+/-0.59717)	|	0.9902		|	0.48847	(0.0)
24	|	17.52425		|	11.7419	(+/-3.1561)	|	1.19078	(+/-0.79344)	|	1.00437		|	0.45339	(1e-05)
25	|	17.24596		|	11.64572	(+/-3.14887)	|	1.29214	(+/-0.84165)	|	0.98842		|	0.50932	(0.0)
26	|	17.2196		|	11.68931	(+/-3.13124)	|	1.17847	(+/-0.775)	|	0.98691		|	0.52706	(0.0)
27	|	17.20398		|	11.65522	(+/-3.15883)	|	1.14617	(+/-0.77511)	|	0.98602		|	0.51186	(0.0)
28	|	17.19695		|	11.62199	(+/-3.16049)	|	1.11012	(+/-0.72892)	|	0.98561		|	0.38158	(0.00022)
29	|	18.05347		|	11.76401	(+/-3.14034)	|	1.31716	(+/-0.87008)	|	1.0347		|	0.4599	(1e-05)
30	|	17.29296		|	11.72063	(+/-3.13061)	|	1.20159	(+/-0.75907)	|	0.99111		|	0.49194	(0.0)
31	|	17.69897		|	11.68305	(+/-3.15454)	|	1.28629	(+/-0.82334)	|	1.01438		|	0.53346	(0.0)
32	|	17.22109		|	11.66597	(+/-3.12406)	|	1.11444	(+/-0.76934)	|	0.987		|	0.46586	(0.0)
33	|	17.48683		|	11.6004	(+/-3.11577)	|	1.16457	(+/-0.81188)	|	1.00223		|	0.537	(0.0)
34	|	17.33304		|	11.62719	(+/-3.19459)	|	1.09861	(+/-0.70479)	|	0.99341		|	0.46007	(1e-05)
35	|	17.85085		|	11.68038	(+/-3.1549)	|	1.2206	(+/-0.73701)	|	1.02309		|	0.52142	(0.0)
36	|	17.8031		|	11.65968	(+/-3.07071)	|	1.16808	(+/-0.73656)	|	1.02035		|	0.41015	(7e-05)
37	|	17.58413		|	11.57862	(+/-3.14011)	|	1.04277	(+/-0.76102)	|	1.0078		|	0.46437	(0.0)
38	|	17.52327		|	11.67552	(+/-3.13741)	|	1.17867	(+/-0.72484)	|	1.00431		|	0.42291	(4e-05)
39	|	17.76516		|	11.69977	(+/-3.15045)	|	1.22809	(+/-0.79216)	|	1.01818		|	0.47066	(0.0)
40	|	18.08476		|	11.6418	(+/-3.16295)	|	1.21981	(+/-0.77803)	|	1.0365		|	0.54607	(0.0)
41	|	17.40503		|	11.66188	(+/-3.09149)	|	1.20791	(+/-0.82265)	|	0.99754		|	0.4893	(0.0)
42	|	17.36605		|	11.5806	(+/-3.07239)	|	1.12154	(+/-0.73558)	|	0.9953		|	0.43758	(2e-05)
43	|	17.64806		|	11.66735	(+/-3.13972)	|	1.12961	(+/-0.83866)	|	1.01147		|	0.47503	(0.0)
44	|	17.87097		|	11.64621	(+/-3.08444)	|	1.21214	(+/-0.80488)	|	1.02424		|	0.41072	(6e-05)
45	|	17.5623		|	11.6442	(+/-3.11153)	|	1.25338	(+/-0.85931)	|	1.00655		|	0.48913	(0.0)
46	|	17.56483		|	11.71828	(+/-3.15086)	|	1.29336	(+/-0.75524)	|	1.0067		|	0.38973	(0.00016)
47	|	17.14099		|	11.64214	(+/-3.08142)	|	1.12792	(+/-0.69218)	|	0.9824		|	0.31529	(0.00262)
48	|	17.20679		|	11.5876	(+/-3.08282)	|	1.01067	(+/-0.69934)	|	0.98618		|	0.42459	(3e-05)
49	|	17.40026		|	11.606	(+/-3.12388)	|	1.12283	(+/-0.76373)	|	0.99726		|	0.45236	(1e-05)
50	|	17.24511		|	11.64867	(+/-3.15066)	|	1.20532	(+/-0.82822)	|	0.98837		|	0.50536	(0.0)
51	|	17.31659		|	11.65142	(+/-3.14498)	|	1.15647	(+/-0.72048)	|	0.99247		|	0.45422	(1e-05)
52	|	17.49783		|	11.59759	(+/-3.14682)	|	1.19081	(+/-0.7407)	|	1.00286		|	0.47696	(0.0)
53	|	17.63062		|	11.63146	(+/-3.09116)	|	1.1358	(+/-0.79041)	|	1.01047		|	0.43013	(3e-05)
54	|	17.92396		|	11.66538	(+/-3.1628)	|	1.28496	(+/-0.88836)	|	1.02728		|	0.46752	(0.0)
55	|	17.72498		|	11.66849	(+/-3.11765)	|	1.22785	(+/-0.80896)	|	1.01588		|	0.51833	(0.0)
56	|	17.61384		|	11.67368	(+/-3.06658)	|	1.32994	(+/-0.8255)	|	1.00951		|	0.44721	(1e-05)
57	|	17.73073		|	11.65139	(+/-3.17705)	|	1.20765	(+/-0.81063)	|	1.0162		|	0.54888	(0.0)
58	|	17.88773		|	11.70093	(+/-3.11562)	|	1.19398	(+/-0.80342)	|	1.0252		|	0.51207	(0.0)
59	|	17.43189		|	11.70775	(+/-3.11988)	|	1.27371	(+/-0.86963)	|	0.99908		|	0.52162	(0.0)
60	|	17.47981		|	11.65196	(+/-3.14446)	|	1.34173	(+/-0.92012)	|	1.00182		|	0.53942	(0.0)
61	|	17.25715		|	11.61391	(+/-3.201)	|	1.17196	(+/-0.79701)	|	0.98906		|	0.55579	(0.0)
62	|	17.71638		|	11.62069	(+/-3.19125)	|	1.27342	(+/-0.85316)	|	1.01538		|	0.52302	(0.0)
63	|	17.57015		|	11.73673	(+/-3.18343)	|	1.2959	(+/-0.85151)	|	1.007		|	0.47562	(0.0)
64	|	17.82853		|	11.63171	(+/-3.20116)	|	1.35856	(+/-1.00398)	|	1.02181		|	0.56676	(0.0)
65	|	17.80814		|	11.64553	(+/-3.15493)	|	1.2454	(+/-0.91129)	|	1.02064		|	0.52593	(0.0)
66	|	17.61167		|	11.70601	(+/-3.22195)	|	1.35281	(+/-0.86155)	|	1.00938		|	0.57132	(0.0)
67	|	17.90064		|	11.78195	(+/-3.17364)	|	1.34675	(+/-0.8955)	|	1.02594		|	0.53018	(0.0)
68	|	17.62661		|	11.70189	(+/-3.17661)	|	1.20774	(+/-0.82262)	|	1.01024		|	0.48921	(0.0)
69	|	17.78046		|	11.78545	(+/-3.17625)	|	1.25152	(+/-0.85897)	|	1.01906		|	0.47931	(0.0)
70	|	17.61557		|	11.64583	(+/-3.16532)	|	1.19113	(+/-0.87288)	|	1.0096		|	0.46768	(0.0)
71	|	17.80357		|	11.58973	(+/-3.19844)	|	1.19257	(+/-0.88832)	|	1.02038		|	0.5106	(0.0)
72	|	17.535		|	11.63624	(+/-3.12977)	|	1.28605	(+/-0.94826)	|	1.00499		|	0.52452	(0.0)
73	|	17.53789		|	11.66692	(+/-3.15923)	|	1.34076	(+/-0.95528)	|	1.00515		|	0.5097	(0.0)
74	|	17.5974		|	11.59373	(+/-3.14857)	|	1.25077	(+/-0.94851)	|	1.00856		|	0.50405	(0.0)
75	|	17.72458		|	11.66572	(+/-3.19024)	|	1.1821	(+/-0.8458)	|	1.01585		|	0.49364	(0.0)
76	|	17.48571		|	11.63056	(+/-3.15779)	|	1.27898	(+/-0.88381)	|	1.00216		|	0.54706	(0.0)
77	|	17.77918		|	11.62602	(+/-3.18618)	|	1.29496	(+/-0.90244)	|	1.01898		|	0.53749	(0.0)
78	|	18.18321		|	11.72504	(+/-3.19594)	|	1.31376	(+/-0.94116)	|	1.04214		|	0.53673	(0.0)
79	|	17.86453		|	11.65608	(+/-3.11584)	|	1.25247	(+/-0.92848)	|	1.02387		|	0.5034	(0.0)
80	|	17.72616		|	11.71459	(+/-3.16656)	|	1.3806	(+/-0.98753)	|	1.01594		|	0.56031	(0.0)
81	|	17.68825		|	11.68616	(+/-3.14171)	|	1.37023	(+/-0.97302)	|	1.01377		|	0.49776	(0.0)
82	|	17.7102		|	11.75492	(+/-3.11412)	|	1.38816	(+/-0.96841)	|	1.01503		|	0.40055	(0.0001)
83	|	17.75841		|	11.65946	(+/-3.17364)	|	1.22112	(+/-0.94913)	|	1.01779		|	0.49401	(0.0)
84	|	17.78984		|	11.63488	(+/-3.14152)	|	1.20346	(+/-0.87855)	|	1.01959		|	0.45867	(1e-05)
85	|	17.85733		|	11.63299	(+/-3.1733)	|	1.19863	(+/-0.8074)	|	1.02346		|	0.45827	(1e-05)
86	|	17.56839		|	11.62365	(+/-3.15295)	|	1.14951	(+/-0.78119)	|	1.0069		|	0.48696	(0.0)
87	|	17.45752		|	11.67391	(+/-3.13675)	|	1.24841	(+/-0.85891)	|	1.00055		|	0.48337	(0.0)
88	|	17.74174		|	11.61861	(+/-3.17268)	|	1.12568	(+/-0.80994)	|	1.01684		|	0.4232	(4e-05)
89	|	17.60815		|	11.66693	(+/-3.16769)	|	1.22982	(+/-0.80062)	|	1.00918		|	0.42739	(3e-05)
90	|	17.63244		|	11.62519	(+/-3.17121)	|	1.24471	(+/-0.85849)	|	1.01057		|	0.46511	(0.0)
91	|	17.72985		|	11.69582	(+/-3.23558)	|	1.24447	(+/-0.8529)	|	1.01615		|	0.52083	(0.0)
92	|	18.12749		|	11.63042	(+/-3.14902)	|	1.25843	(+/-0.91682)	|	1.03894		|	0.52403	(0.0)
93	|	17.65845		|	11.645	(+/-3.11859)	|	1.28719	(+/-0.95424)	|	1.01206		|	0.39638	(0.00012)
94	|	17.90866		|	11.68215	(+/-3.22837)	|	1.26669	(+/-0.93362)	|	1.0264		|	0.528	(0.0)
95	|	18.51023		|	11.7287	(+/-3.14841)	|	1.36705	(+/-0.96442)	|	1.06088		|	0.46593	(0.0)
96	|	17.99382		|	11.68651	(+/-3.1576)	|	1.36942	(+/-0.99426)	|	1.03128		|	0.46435	(0.0)
97	|	17.86503		|	11.77191	(+/-3.15039)	|	1.29193	(+/-0.90571)	|	1.0239		|	0.51133	(0.0)
98	|	17.8847		|	11.73847	(+/-3.22675)	|	1.28963	(+/-0.91783)	|	1.02503		|	0.48672	(0.0)
99	|	17.45046		|	11.76513	(+/-3.16306)	|	1.28301	(+/-0.83145)	|	1.00014		|	0.50225	(0.0)
100	|	18.01147		|	11.72946	(+/-3.1757)	|	1.25254	(+/-0.8733)	|	1.0323		|	0.52088	(0.0)
101	|	17.95308		|	11.74279	(+/-3.20565)	|	1.31156	(+/-0.8809)	|	1.02895		|	0.48589	(0.0)
102	|	17.65357		|	11.63094	(+/-3.17811)	|	1.23624	(+/-0.8414)	|	1.01178		|	0.53431	(0.0)
103	|	17.47721		|	11.75031	(+/-3.21745)	|	1.32345	(+/-0.86948)	|	1.00167		|	0.5257	(0.0)
104	|	17.56203		|	11.68371	(+/-3.22576)	|	1.3135	(+/-0.81173)	|	1.00654		|	0.49296	(0.0)
105	|	17.66783		|	11.65404	(+/-3.19496)	|	1.15414	(+/-0.71407)	|	1.0126		|	0.42122	(4e-05)
106	|	17.79837		|	11.73087	(+/-3.21645)	|	1.31459	(+/-0.78117)	|	1.02008		|	0.51402	(0.0)
107	|	17.87646		|	11.66847	(+/-3.21071)	|	1.26387	(+/-0.77454)	|	1.02456		|	0.52472	(0.0)
108	|	18.00539		|	11.65943	(+/-3.22143)	|	1.24059	(+/-0.81588)	|	1.03195		|	0.47161	(0.0)
