Conf,Rayon Giration,Distance,ecart-type Distance,RMSD,ecart-type RMSD,Ratio Giration,Correlation,p-value Correlation
REF,16.751269,0,,,,,,
0,16.751269,11.417195,2.692978,0.0,0.0,1.0,1.0,0.0
1,17.481024,11.643808,2.71593,0.784577,0.43818,1.043564,0.34458,0.000944
2,17.698015,11.516637,2.706083,0.798948,0.410594,1.056518,0.646742,0.0
3,17.331323,11.586619,2.834904,0.766359,0.399909,1.034627,0.573044,0.0
4,17.219764,11.587826,2.8188,0.824636,0.458359,1.027968,0.498704,1e-06
5,17.412817,11.574615,2.778521,0.809529,0.436139,1.039492,0.462149,5e-06
6,17.390434,11.554725,2.76876,0.862985,0.510786,1.038156,0.479699,2e-06
7,17.404646,11.589747,2.774871,0.939013,0.619112,1.039005,0.471807,3e-06
8,16.871303,11.595217,2.715012,0.855483,0.549215,1.007166,0.433671,2.2e-05
9,16.696074,11.564106,2.698117,0.800338,0.558055,0.996705,0.328031,0.0017
10,17.419105,11.60096,2.793835,0.857854,0.607188,1.039868,0.375251,0.000291
11,16.808517,11.535093,2.749326,0.804102,0.466495,1.003418,0.464388,5e-06
12,16.839561,11.638307,2.807211,0.839276,0.599456,1.005271,0.482378,2e-06
13,17.023716,11.682178,2.764995,0.825556,0.561147,1.016264,0.382598,0.000215
14,16.925416,11.646993,2.791301,0.827267,0.48405,1.010396,0.477605,2e-06
15,17.315112,11.634967,2.781565,0.969499,0.580616,1.03366,0.456875,7e-06
16,17.235772,11.72578,2.814514,0.881238,0.66227,1.028923,0.473066,3e-06
17,17.401658,11.741528,2.766119,0.839035,0.531503,1.038826,0.500594,1e-06
18,16.979074,11.684576,2.738427,0.959153,0.471526,1.013599,0.506603,0.0
19,17.426495,11.761075,2.80881,1.020879,0.552739,1.040309,0.54068,0.0
20,17.405393,11.79642,2.867551,1.015251,0.629085,1.039049,0.482977,2e-06
21,17.5931,11.70145,2.884552,1.052129,0.60136,1.050255,0.565772,0.0
22,17.1649,11.678403,2.787177,0.962614,0.622678,1.024693,0.49418,1e-06
23,17.286266,11.686669,2.777663,0.948765,0.491783,1.031938,0.516744,0.0
24,17.124484,11.732664,2.774037,0.966005,0.611245,1.02228,0.527091,0.0
25,17.160503,11.596048,2.793866,1.093003,0.65771,1.02443,0.562864,0.0
26,17.007701,11.67249,2.777707,1.006383,0.580404,1.015308,0.550384,0.0
27,16.781745,11.655775,2.817105,0.937876,0.550558,1.001819,0.500024,1e-06
28,16.919182,11.587015,2.819933,0.924987,0.513839,1.010024,0.370985,0.000345
29,17.422878,11.72026,2.748112,1.113741,0.732017,1.040093,0.472904,3e-06
30,17.365045,11.664852,2.761711,1.017426,0.572283,1.036641,0.538904,0.0
31,16.957195,11.619196,2.798288,1.068169,0.629548,1.012293,0.543916,0.0
32,16.892648,11.63372,2.72859,0.916056,0.57341,1.00844,0.421576,3.9e-05
33,16.640513,11.544702,2.762701,0.93047,0.57677,0.993388,0.542275,0.0
34,17.454906,11.606707,2.82557,0.89329,0.512566,1.042005,0.457029,7e-06
35,17.023508,11.615168,2.790399,1.027396,0.525669,1.016252,0.542779,0.0
36,17.099123,11.608265,2.673346,0.97851,0.540975,1.020766,0.370845,0.000347
