Conf,Rayon Giration,Distance,ecart-type Distance,RMSD,ecart-type RMSD,Ratio Giration,Correlation,p-value Correlation
REF,17.447989,0,,,,,,
0,17.447989,11.521419,3.168052,0.0,0.0,1.0,1.0,0.0
1,18.115834,11.771833,3.18611,0.867993,0.476511,1.038276,0.318648,0.002339
2,17.674007,11.668634,3.172921,0.88152,0.498426,1.012954,0.565973,0.0
3,17.569799,11.681016,3.225366,0.852732,0.46669,1.006981,0.529298,0.0
4,17.329243,11.687711,3.24378,0.943992,0.54264,0.993194,0.501298,1e-06
5,17.478814,11.667277,3.167711,0.930985,0.509103,1.001767,0.422478,3.7e-05
6,17.606798,11.600748,3.144266,0.999595,0.60383,1.009102,0.443568,1.3e-05
7,17.558535,11.640544,3.154996,1.095544,0.7227,1.006336,0.435127,2e-05
8,17.614384,11.656023,3.108919,0.975158,0.678992,1.009537,0.37873,0.000252
9,17.197663,11.621027,3.09557,0.94666,0.645227,0.985653,0.323279,0.002001
10,17.288356,11.662903,3.156325,1.012555,0.691199,0.990851,0.386216,0.000185
11,17.453559,11.611281,3.140369,0.937373,0.57772,1.000319,0.395487,0.000125
12,17.819758,11.685499,3.16479,0.997414,0.716636,1.021307,0.426454,3.1e-05
13,18.001675,11.697402,3.167363,1.003584,0.668873,1.031734,0.396374,0.00012
14,17.895761,11.654467,3.154797,1.006906,0.632353,1.025663,0.440368,1.6e-05
15,17.336823,11.673479,3.171426,1.112447,0.733957,0.993629,0.444518,1.3e-05
16,17.591728,11.750241,3.180726,1.074241,0.769792,1.008238,0.418391,4.5e-05
17,17.410685,11.748044,3.148073,1.034365,0.692551,0.997862,0.472964,3e-06
18,17.573703,11.716585,3.130105,1.146003,0.621027,1.007205,0.531646,0.0
19,17.773988,11.752606,3.176041,1.15888,0.6498,1.018684,0.479431,2e-06
20,17.769041,11.812777,3.241618,1.181402,0.74452,1.018401,0.445539,1.2e-05
21,17.52661,11.723456,3.178677,1.232917,0.730515,1.004506,0.54057,0.0
22,17.713647,11.703584,3.143032,1.12652,0.753176,1.015226,0.506758,0.0
23,17.277068,11.725928,3.135965,1.105016,0.597166,0.990204,0.488469,1e-06
24,17.524248,11.7419,3.156098,1.19078,0.793442,1.004371,0.453388,8e-06
25,17.245963,11.645722,3.148869,1.292137,0.841654,0.988421,0.509325,0.0
26,17.219604,11.689314,3.131242,1.178471,0.774998,0.986911,0.527059,0.0
27,17.203982,11.655217,3.158833,1.146169,0.775115,0.986015,0.51186,0.0
28,17.19695,11.621991,3.160492,1.110122,0.728923,0.985612,0.38158,0.000225
29,18.053468,11.764011,3.140341,1.317161,0.870075,1.034702,0.459903,6e-06
30,17.292962,11.720631,3.130609,1.201592,0.759068,0.991115,0.49194,1e-06
31,17.698971,11.683048,3.154541,1.286285,0.823335,1.014385,0.533465,0.0
32,17.221094,11.665974,3.124055,1.114443,0.769339,0.986996,0.465857,4e-06
33,17.486831,11.600401,3.115773,1.164568,0.811876,1.002226,0.536997,0.0
34,17.333038,11.627189,3.194593,1.098605,0.704787,0.993412,0.460067,6e-06
35,17.850851,11.680381,3.154901,1.220597,0.73701,1.023089,0.521419,0.0
36,17.803098,11.659682,3.070708,1.168083,0.73656,1.020352,0.410145,6.6e-05
37,17.584133,11.57862,3.140106,1.042772,0.761022,1.007803,0.464374,5e-06
38,17.523273,11.675515,3.137406,1.178674,0.724836,1.004315,0.422914,3.6e-05
39,17.765165,11.699772,3.150454,1.228094,0.792164,1.018178,0.470658,3e-06
40,18.084759,11.641801,3.162954,1.21981,0.778033,1.036495,0.546072,0.0
41,17.405034,11.661884,3.091485,1.207914,0.82265,0.997538,0.489301,1e-06
42,17.366049,11.580603,3.072388,1.121538,0.735582,0.995304,0.437583,1.8e-05
43,17.648063,11.667347,3.139716,1.129611,0.838662,1.011467,0.475032,3e-06
44,17.870972,11.646207,3.084436,1.212143,0.804877,1.024243,0.410725,6.4e-05
45,17.5623,11.644204,3.111528,1.253381,0.859314,1.006552,0.489131,1e-06
46,17.564829,11.718281,3.150858,1.293364,0.755236,1.006696,0.389725,0.00016
47,17.140985,11.642144,3.081416,1.127922,0.692177,0.982405,0.315293,0.002616
48,17.206788,11.587599,3.08282,1.010668,0.699344,0.986176,0.42459,3.4e-05
49,17.400256,11.605998,3.123877,1.122835,0.763729,0.997264,0.452361,9e-06
50,17.245105,11.648669,3.150663,1.205325,0.828218,0.988372,0.50536,0.0
51,17.316587,11.651424,3.144978,1.156467,0.720477,0.992469,0.454222,8e-06
52,17.497829,11.597594,3.146821,1.190809,0.740699,1.002856,0.476963,2e-06
53,17.630618,11.631463,3.091159,1.135796,0.790406,1.010467,0.430126,2.6e-05
54,17.923957,11.665378,3.162801,1.284964,0.888361,1.027279,0.467524,4e-06
55,17.724983,11.668491,3.117653,1.227849,0.808956,1.015875,0.518331,0.0
56,17.613839,11.673678,3.066581,1.329937,0.825499,1.009505,0.447207,1.1e-05
57,17.730728,11.651394,3.177051,1.207646,0.810629,1.016205,0.548878,0.0
58,17.887734,11.70093,3.115622,1.193979,0.803423,1.025203,0.512074,0.0
59,17.431888,11.707755,3.119882,1.273715,0.869629,0.999077,0.521621,0.0
