Conf|	Rayon Giration	|	Distance		|		RMSD		|	Ratio Giration	|	Correlation	(p-value)
REF	|	16.75127		|			0
0	|	16.75127		|	11.41719	(+/-2.69298)	|	0.0	(+/-0.0)	|	1.0		|	1.0	(0.0)
1	|	17.48102		|	11.64381	(+/-2.71593)	|	0.78458	(+/-0.43818)	|	1.04356		|	0.34458	(0.00094)
2	|	17.69801		|	11.51664	(+/-2.70608)	|	0.79895	(+/-0.41059)	|	1.05652		|	0.64674	(0.0)
3	|	17.33132		|	11.58662	(+/-2.8349)	|	0.76636	(+/-0.39991)	|	1.03463		|	0.57304	(0.0)
4	|	17.21976		|	11.58783	(+/-2.8188)	|	0.82464	(+/-0.45836)	|	1.02797		|	0.4987	(0.0)
5	|	17.41282		|	11.57462	(+/-2.77852)	|	0.80953	(+/-0.43614)	|	1.03949		|	0.46215	(1e-05)
6	|	17.39043		|	11.55473	(+/-2.76876)	|	0.86298	(+/-0.51079)	|	1.03816		|	0.4797	(0.0)
7	|	17.40465		|	11.58975	(+/-2.77487)	|	0.93901	(+/-0.61911)	|	1.039		|	0.47181	(0.0)
8	|	16.8713		|	11.59522	(+/-2.71501)	|	0.85548	(+/-0.54921)	|	1.00717		|	0.43367	(2e-05)
9	|	16.69607		|	11.56411	(+/-2.69812)	|	0.80034	(+/-0.55806)	|	0.99671		|	0.32803	(0.0017)
10	|	17.41911		|	11.60096	(+/-2.79383)	|	0.85785	(+/-0.60719)	|	1.03987		|	0.37525	(0.00029)
11	|	16.80852		|	11.53509	(+/-2.74933)	|	0.8041	(+/-0.4665)	|	1.00342		|	0.46439	(0.0)
12	|	16.83956		|	11.63831	(+/-2.80721)	|	0.83928	(+/-0.59946)	|	1.00527		|	0.48238	(0.0)
13	|	17.02372		|	11.68218	(+/-2.765)	|	0.82556	(+/-0.56115)	|	1.01626		|	0.3826	(0.00022)
14	|	16.92542		|	11.64699	(+/-2.7913)	|	0.82727	(+/-0.48405)	|	1.0104		|	0.4776	(0.0)
15	|	17.31511		|	11.63497	(+/-2.78157)	|	0.9695	(+/-0.58062)	|	1.03366		|	0.45688	(1e-05)
16	|	17.23577		|	11.72578	(+/-2.81451)	|	0.88124	(+/-0.66227)	|	1.02892		|	0.47307	(0.0)
17	|	17.40166		|	11.74153	(+/-2.76612)	|	0.83903	(+/-0.5315)	|	1.03883		|	0.50059	(0.0)
