Conformation	|	Rayon Giration	|	RMSD	(+/- ecart-type)
	REF			|		16.7513		|	0.0
	0			|		16.7513	|	0.0	(+/-0.0)
	1			|		17.4191	|	0.8579	(+/-0.6072)
	2			|		17.4054	|	1.0153	(+/-0.6291)
	3			|		17.365	|	1.0174	(+/-0.5723)
	4			|		17.1964	|	1.0027	(+/-0.5208)
	5			|		16.9896	|	0.9789	(+/-0.6334)
	6			|		17.076	|	1.1022	(+/-0.7016)
	7			|		17.1714	|	0.9974	(+/-0.6966)
	8			|		17.2353	|	1.1312	(+/-0.7404)
	9			|		17.3423	|	1.0317	(+/-0.6287)
	10			|		17.1675	|	1.0353	(+/-0.7157)
	11			|		17.6104	|	1.1175	(+/-0.663)
	12			|		17.067	|	1.0242	(+/-0.7279)
	13			|		17.2925	|	1.0814	(+/-0.7626)
	14			|		16.6985	|	0.8305	(+/-0.5972)
	15			|		17.2258	|	1.0094	(+/-0.7364)
	16			|		17.272	|	1.1215	(+/-0.8273)
	17			|		16.9388	|	1.1827	(+/-0.802)
	18			|		17.5936	|	1.0877	(+/-0.6656)
	19			|		17.5375	|	1.0553	(+/-0.7379)
	20			|		16.6778	|	0.9837	(+/-0.6633)
	21			|		17.189	|	1.1309	(+/-0.6684)
	22			|		17.1117	|	0.9127	(+/-0.669)
	23			|		17.1088	|	1.1049	(+/-0.7326)
	24			|		16.994	|	0.9002	(+/-0.6361)
	25			|		17.2922	|	0.9595	(+/-0.6789)
	26			|		16.8115	|	0.9807	(+/-0.6439)
	27			|		16.9341	|	1.0614	(+/-0.5804)
	28			|		16.8015	|	0.9043	(+/-0.6137)
	29			|		16.9589	|	0.9477	(+/-0.6414)
	30			|		16.6524	|	0.9131	(+/-0.5074)
	31			|		16.835	|	0.8507	(+/-0.6298)
	32			|		16.6098	|	0.8876	(+/-0.5929)
	33			|		16.8341	|	0.8929	(+/-0.5947)
	34			|		17.2505	|	0.9333	(+/-0.5911)
	35			|		16.8641	|	0.872	(+/-0.5003)
	36			|		16.8436	|	1.0413	(+/-0.593)
	37			|		16.8697	|	0.9912	(+/-0.6073)
	38			|		16.8029	|	0.9048	(+/-0.5358)
	39			|		16.8539	|	0.9471	(+/-0.6138)
	40			|		16.6512	|	1.0059	(+/-0.6228)
	41			|		17.2166	|	0.9557	(+/-0.7353)
	42			|		16.7205	|	0.9521	(+/-0.5934)
	43			|		16.6057	|	0.9873	(+/-0.6459)
	44			|		17.0422	|	1.0291	(+/-0.6162)
	45			|		16.7561	|	0.9751	(+/-0.5856)
	46			|		16.8506	|	1.1292	(+/-0.6137)
	47			|		16.7478	|	0.8839	(+/-0.5703)
	48			|		16.9463	|	0.9922	(+/-0.5746)
	49			|		17.0592	|	0.9956	(+/-0.555)
	50			|		16.5703	|	1.0831	(+/-0.5332)
	51			|		17.076	|	0.8905	(+/-0.5415)
	52			|		17.0477	|	0.9588	(+/-0.587)
	53			|		17.2433	|	0.9907	(+/-0.561)
	54			|		16.8326	|	1.0551	(+/-0.5635)
	55			|		17.0166	|	1.0814	(+/-0.6221)
	56			|		16.8831	|	0.9958	(+/-0.575)
	57			|		16.6995	|	0.9724	(+/-0.653)
	58			|		17.1525	|	1.0173	(+/-0.5623)
	59			|		16.815	|	1.0375	(+/-0.5781)
	60			|		16.8913	|	0.9945	(+/-0.5687)
	61			|		16.7358	|	0.9476	(+/-0.4983)
	62			|		16.9208	|	0.97	(+/-0.5833)
	63			|		17.0076	|	1.0789	(+/-0.5345)
	64			|		16.8047	|	1.1051	(+/-0.5612)
	65			|		16.5441	|	1.1321	(+/-0.6914)
	66			|		17.2199	|	1.0001	(+/-0.6036)
	67			|		16.5937	|	1.008	(+/-0.58)
	68			|		16.9419	|	1.195	(+/-0.6318)
