Conf,Rayon Giration,Distance,ecart-type Distance,RMSD,ecart-type RMSD,Ratio Giration,Correlation,p-value Correlation
REF,17.448,0,,,,,,
0,17.448,11.5214,3.1681,0.0,0.0,1.0,1.0,0.0
1,17.2884,11.6629,3.1563,1.0126,0.6912,0.9909,0.3862,0.0002
2,17.769,11.8128,3.2416,1.1814,0.7445,1.0184,0.4455,0.0
3,17.293,11.7206,3.1306,1.2016,0.7591,0.9911,0.4919,0.0
4,18.0848,11.6418,3.163,1.2198,0.778,1.0365,0.5461,0.0
5,17.2451,11.6487,3.1507,1.2053,0.8282,0.9884,0.5054,0.0
6,17.4798,11.652,3.1445,1.3417,0.9201,1.0018,0.5394,0.0
7,17.6156,11.6458,3.1653,1.1911,0.8729,1.0096,0.4677,0.0
8,17.7262,11.7146,3.1666,1.3806,0.9875,1.0159,0.5603,0.0
9,17.6324,11.6252,3.1712,1.2447,0.8585,1.0106,0.4651,0.0
10,18.0115,11.7295,3.1757,1.2525,0.8733,1.0323,0.5209,0.0
11,17.6514,11.7754,3.1813,1.3177,0.7896,1.0117,0.4494,0.0
12,17.8117,11.6832,3.2087,1.2461,0.8791,1.0208,0.5223,0.0
13,17.6323,11.738,3.2023,1.3072,0.8991,1.0106,0.4759,0.0
14,18.2837,11.7012,3.1913,1.1127,0.7664,1.0479,0.3657,0.0004
15,18.2287,11.7429,3.2196,1.1941,0.8488,1.0447,0.4433,0.0
16,18.1778,11.8694,3.3173,1.3118,0.9798,1.0418,0.4744,0.0
17,18.6708,11.7612,3.1839,1.3892,0.9425,1.0701,0.4054,0.0001
18,18.4518,11.7892,3.215,1.2851,0.8431,1.0575,0.4873,0.0
19,18.1362,11.7617,3.192,1.2195,0.864,1.0394,0.4666,0.0
20,17.7031,11.7042,3.1712,1.1736,0.8444,1.0146,0.4448,0.0
21,18.1113,11.6916,3.1867,1.3848,0.8987,1.038,0.5164,0.0
22,18.0114,11.737,3.1683,1.1809,0.8432,1.0323,0.3365,0.0013
23,18.3484,11.6975,3.1553,1.3748,0.9522,1.0516,0.4941,0.0
24,17.6804,11.7058,3.1234,1.1817,0.8161,1.0133,0.4017,0.0001
25,17.8173,11.6228,3.1592,1.202,0.8456,1.0212,0.4247,0.0
26,17.5468,11.6212,3.1443,1.2315,0.8417,1.0057,0.5301,0.0
27,17.8088,11.6976,3.1486,1.3137,0.7622,1.0207,0.4055,0.0001
28,17.8031,11.6871,3.1277,1.1271,0.7876,1.0204,0.3722,0.0003
29,17.7436,11.6771,3.2298,1.2023,0.8241,1.0169,0.523,0.0
30,17.3182,11.5916,3.079,1.1731,0.6831,0.9926,0.4269,0.0
31,17.5825,11.6555,3.228,1.1239,0.8272,1.0077,0.4431,0.0
32,17.3933,11.5699,3.1307,1.1338,0.7612,0.9969,0.4685,0.0
33,17.7412,11.6186,3.1648,1.1246,0.7781,1.0168,0.3997,0.0001
34,18.1768,11.7133,3.2149,1.1487,0.7671,1.0418,0.3636,0.0005
35,17.7103,11.71,3.1975,1.176,0.6878,1.015,0.407,0.0001
36,17.6784,11.6166,3.1587,1.2648,0.7454,1.0132,0.3947,0.0001
37,17.4186,11.6362,3.1675,1.2645,0.8099,0.9983,0.5137,0.0
38,17.5712,11.67,3.1249,1.1601,0.7452,1.0071,0.4424,0.0
39,17.7844,11.6086,3.1595,1.1962,0.8307,1.0193,0.4735,0.0
40,17.4855,11.6131,3.0787,1.2476,0.7979,1.0021,0.4329,0.0
41,18.0829,11.6592,3.115,1.1995,0.8696,1.0364,0.4919,0.0
42,16.9556,11.5509,3.1124,1.1769,0.7192,0.9718,0.4012,0.0001
43,17.3281,11.5537,3.097,1.2174,0.8357,0.9931,0.4024,0.0001
44,17.624,11.5446,3.1578,1.2585,0.8064,1.0101,0.5242,0.0
45,17.4588,11.5937,3.127,1.2083,0.7587,1.0006,0.493,0.0
46,17.7223,11.6803,3.0401,1.3661,0.7725,1.0157,0.4919,0.0
47,17.4368,11.6028,3.1147,1.1782,0.7691,0.9994,0.4926,0.0
48,17.9567,11.5857,3.1036,1.2543,0.8064,1.0292,0.5009,0.0
49,17.8499,11.5754,3.0807,1.2977,0.7743,1.023,0.463,0.0
50,17.5445,11.6104,3.0266,1.3787,0.7413,1.0055,0.4619,0.0
51,18.0293,11.5559,3.0725,1.207,0.7233,1.0333,0.4861,0.0
52,17.8329,11.6012,3.0964,1.2461,0.7904,1.0221,0.4693,0.0
53,17.7573,11.6946,3.1806,1.2689,0.7611,1.0177,0.5081,0.0
54,17.5845,11.636,3.1057,1.2985,0.7597,1.0078,0.5525,0.0
55,17.9716,11.7059,3.1629,1.3312,0.7816,1.03,0.4832,0.0
56,17.9403,11.6804,3.0857,1.2791,0.7082,1.0282,0.4517,0.0
57,17.4703,11.6445,3.1293,1.3113,0.8748,1.0013,0.468,0.0
58,17.8454,11.6543,3.1464,1.2843,0.7364,1.0228,0.5435,0.0
59,17.6106,11.6352,3.0383,1.346,0.7475,1.0093,0.3605,0.0005
60,17.4751,11.6208,3.0946,1.2419,0.7818,1.0016,0.4121,0.0001
61,17.2817,11.7047,3.1292,1.1639,0.6755,0.9905,0.2957,0.0049
62,17.5217,11.6414,3.1107,1.2504,0.7793,1.0042,0.4103,0.0001
63,17.2648,11.7612,3.1125,1.3852,0.787,0.9895,0.4006,0.0001
64,17.6688,11.6991,3.0289,1.4093,0.794,1.0127,0.4101,0.0001
65,17.422,11.5779,3.114,1.4167,0.8846,0.9985,0.508,0.0
66,17.8351,11.6723,3.1486,1.2778,0.8714,1.0222,0.4569,0.0
67,17.6984,11.5699,3.0965,1.3235,0.8213,1.0144,0.5091,0.0
68,17.8595,11.661,3.1146,1.4038,0.7898,1.0236,0.5446,0.0
69,17.5289,11.6632,3.1427,1.2658,0.6546,1.0046,0.5131,0.0
70,17.7156,11.6146,3.1029,1.367,0.8005,1.0153,0.4853,0.0
71,17.4986,11.6482,3.1644,1.3143,0.8058,1.0029,0.4544,0.0
72,17.9013,11.6498,3.0911,1.4614,0.8089,1.026,0.5258,0.0
73,17.4183,11.664,3.084,1.4937,0.7974,0.9983,0.4367,0.0
74,17.5586,11.7327,3.1398,1.5797,0.9429,1.0063,0.4623,0.0
75,17.9719,11.8578,3.1047,1.6552,0.9944,1.03,0.3971,0.0001
76,17.6366,11.7441,3.1939,1.533,1.0291,1.0108,0.5033,0.0
77,17.9995,11.7829,3.1873,1.5955,1.0733,1.0316,0.5373,0.0
78,18.2491,11.7009,3.1929,1.6015,1.0857,1.0459,0.5112,0.0
79,17.599,11.6296,3.1645,1.5347,1.0428,1.0087,0.4841,0.0
80,18.1334,11.6678,3.068,1.5882,1.0799,1.0393,0.4131,0.0001
81,18.4734,11.7076,3.1909,1.586,0.9857,1.0588,0.4791,0.0
82,17.5261,11.7033,3.0917,1.5515,1.0311,1.0045,0.4502,0.0
83,17.6559,11.7313,3.0937,1.5473,1.0224,1.0119,0.402,0.0001
84,17.6536,11.6462,3.0446,1.4324,0.9805,1.0118,0.3677,0.0004
85,18.0375,11.7072,3.0889,1.3967,1.012,1.0338,0.4082,0.0001
86,17.7169,11.6174,3.081,1.4665,1.0394,1.0154,0.4341,0.0
87,18.262,11.7665,3.1135,1.5018,1.0179,1.0467,0.4359,0.0
88,17.7307,11.6662,3.1725,1.2749,0.8715,1.0162,0.4901,0.0
89,18.2645,11.7548,3.1035,1.3445,0.8867,1.0468,0.4,0.0001
90,17.8552,11.7353,3.0626,1.4322,0.8306,1.0233,0.3749,0.0003
91,18.4395,11.7879,3.1299,1.4436,0.924,1.0568,0.3709,0.0003
92,17.4793,11.7255,3.1271,1.5436,1.0845,1.0018,0.4812,0.0
93,17.5165,11.7482,3.1347,1.5761,1.0193,1.0039,0.4792,0.0
94,18.0985,11.7316,3.1121,1.5535,1.0225,1.0373,0.4507,0.0
95,18.3708,11.6637,3.1654,1.3715,0.8482,1.0529,0.5767,0.0
96,18.5922,11.7397,3.1238,1.3885,0.9247,1.0656,0.4503,0.0
97,17.8414,11.6314,3.0961,1.3961,0.8333,1.0225,0.4748,0.0
98,17.7424,11.6189,3.1294,1.3667,0.8703,1.0169,0.4874,0.0
99,17.3313,11.6881,3.128,1.2629,0.7685,0.9933,0.5206,0.0
100,17.2767,11.6431,3.0773,1.5117,0.8922,0.9902,0.5727,0.0
101,17.363,11.6027,3.0813,1.3991,0.85,0.9951,0.5594,0.0
102,18.231,11.6965,3.1077,1.3589,0.7777,1.0449,0.5204,0.0
103,18.3068,11.8496,3.155,1.4681,0.797,1.0492,0.4614,0.0
104,17.2273,11.6727,3.1283,1.4325,0.817,0.9874,0.542,0.0
105,17.7086,11.6944,3.1469,1.428,0.773,1.0149,0.582,0.0
106,17.6348,11.7033,3.1726,1.4017,0.8496,1.0107,0.4749,0.0
107,18.6321,11.7089,3.1322,1.3925,0.8181,1.0679,0.5483,0.0
108,17.6257,11.7071,3.1176,1.2576,0.6832,1.0102,0.4326,0.0
109,17.9605,11.6844,3.1256,1.3932,0.7206,1.0294,0.4759,0.0
110,17.7259,11.6343,3.1295,1.3131,0.7268,1.0159,0.5238,0.0
111,17.5611,11.715,3.1922,1.2935,0.8008,1.0065,0.595,0.0
112,18.0043,11.7418,3.1761,1.4058,0.7968,1.0319,0.557,0.0
113,18.3327,11.7789,3.2019,1.5391,0.8705,1.0507,0.6086,0.0
114,18.6813,11.8441,3.2333,1.5319,1.0058,1.0707,0.5258,0.0
115,17.945,11.7122,3.2149,1.3589,0.8489,1.0285,0.5724,0.0
116,18.1045,11.8393,3.1612,1.4265,0.931,1.0376,0.4393,0.0
117,18.0158,11.7171,3.1845,1.2489,0.7642,1.0325,0.5084,0.0
118,18.0181,11.7173,3.2176,1.3905,0.8166,1.0327,0.5432,0.0
119,18.5935,11.7253,3.2424,1.3939,0.8209,1.0657,0.5533,0.0
120,17.9821,11.7013,3.1864,1.4531,0.8643,1.0306,0.5615,0.0
121,17.7235,11.625,3.1638,1.3172,0.8116,1.0158,0.5558,0.0
122,17.8024,11.6425,3.1533,1.1923,0.7238,1.0203,0.6085,0.0
123,17.7437,11.6636,3.1483,1.3331,0.8474,1.0169,0.4951,0.0
124,17.7224,11.6477,3.1644,1.3388,0.7184,1.0157,0.5428,0.0
125,17.8571,11.6628,3.0808,1.4594,0.8133,1.0234,0.4644,0.0
126,17.4068,11.6127,3.0768,1.2551,0.6185,0.9976,0.5288,0.0
127,18.1855,11.7316,3.183,1.3769,0.7158,1.0423,0.6095,0.0
128,18.1144,11.811,3.2102,1.5174,0.8354,1.0382,0.568,0.0
129,18.1457,11.7538,3.1946,1.537,0.8453,1.04,0.5306,0.0
130,19.7469,11.9475,3.2894,1.787,1.1588,1.1318,0.5667,0.0
131,18.4691,11.8666,3.2128,1.6421,0.8806,1.0585,0.5554,0.0
132,18.3979,11.7692,3.2339,1.5723,0.7972,1.0544,0.5565,0.0
133,18.7761,11.8306,3.2513,1.8578,0.9637,1.0761,0.6323,0.0
134,18.4271,11.6671,3.1701,1.6463,0.8686,1.0561,0.5372,0.0
135,18.4868,11.6932,3.1282,1.6524,0.8756,1.0595,0.5176,0.0
136,18.4088,11.7779,3.1685,1.6634,0.831,1.0551,0.578,0.0
137,18.7762,11.7914,3.2222,1.6854,0.8696,1.0761,0.5811,0.0
138,18.4684,11.8236,3.1468,1.7889,0.8201,1.0585,0.5619,0.0
139,18.245,11.7401,3.1641,1.5819,0.8503,1.0457,0.5373,0.0
140,18.9895,11.831,3.2307,1.948,1.0607,1.0884,0.5315,0.0
141,18.7723,11.7792,3.2339,1.5688,0.8234,1.0759,0.6255,0.0
142,19.0047,11.8341,3.214,1.7473,0.9089,1.0892,0.5263,0.0
143,18.9587,11.8332,3.1999,1.7404,0.871,1.0866,0.5781,0.0
144,18.4278,11.7267,3.1621,1.7159,0.9685,1.0562,0.5409,0.0
145,18.0268,11.6626,3.104,1.6372,0.7714,1.0332,0.5612,0.0
146,18.6943,11.6754,3.1735,1.5514,0.7678,1.0714,0.5147,0.0
147,19.2978,11.787,3.2284,1.5204,0.7138,1.106,0.4874,0.0
148,18.4248,11.7239,3.221,1.6671,0.7689,1.056,0.5786,0.0
149,18.7117,11.6745,3.2324,1.6172,0.8259,1.0724,0.6392,0.0
150,18.9031,11.8306,3.1967,1.6043,0.7137,1.0834,0.4983,0.0
151,19.4423,11.8408,3.2619,1.9041,0.9474,1.1143,0.5715,0.0
152,19.0365,11.7484,3.1537,1.4914,0.7341,1.091,0.4291,0.0
153,19.274,11.8619,3.2268,1.6122,0.7738,1.1047,0.542,0.0
154,18.9359,11.7515,3.2713,1.6999,0.8067,1.0853,0.5452,0.0
155,18.302,11.6762,3.2168,1.4857,0.7567,1.0489,0.5104,0.0
156,18.36,11.7328,3.1441,1.5419,0.8537,1.0523,0.571,0.0
157,18.7003,11.7975,3.1953,1.6592,0.8944,1.0718,0.4854,0.0
158,18.9452,11.781,3.2863,1.8214,1.0129,1.0858,0.5589,0.0
159,19.2862,11.8006,3.247,1.7373,0.9765,1.1054,0.5323,0.0
160,18.8746,11.7813,3.2138,1.61,0.8296,1.0818,0.5429,0.0
161,18.3254,11.7721,3.2285,1.5011,0.8139,1.0503,0.4727,0.0
162,19.061,11.7428,3.2381,1.685,0.9266,1.0924,0.5629,0.0
163,18.5557,11.7418,3.1716,1.4543,0.8112,1.0635,0.4522,0.0
164,18.8385,11.6874,3.2263,1.4546,0.8032,1.0797,0.516,0.0
165,19.0065,11.8031,3.2199,1.6958,0.9184,1.0893,0.4164,0.0
166,18.6828,11.7877,3.222,1.5381,0.8492,1.0708,0.5696,0.0
167,18.247,11.7241,3.1651,1.6006,0.7898,1.0458,0.5263,0.0
168,18.4143,11.7046,3.1356,1.644,0.9499,1.0554,0.5915,0.0
169,18.7616,11.7669,3.2294,1.5212,0.8464,1.0753,0.5453,0.0
170,18.5968,11.7075,3.205,1.6247,0.8395,1.0658,0.5403,0.0
171,19.1049,11.9368,3.265,1.9912,1.2163,1.095,0.5821,0.0
172,18.4978,11.769,3.2431,1.5531,0.8733,1.0602,0.5509,0.0
173,18.5256,11.7643,3.2441,1.7184,0.957,1.0618,0.5961,0.0
174,18.5584,11.8074,3.242,1.5548,0.9578,1.0636,0.4854,0.0
175,18.938,11.8252,3.2706,1.6901,1.0416,1.0854,0.4682,0.0
176,18.5649,11.8534,3.2126,1.679,0.9342,1.064,0.4836,0.0
177,18.0924,11.7641,3.2183,1.6344,0.8914,1.0369,0.4691,0.0
178,18.8907,11.8569,3.2384,1.7678,1.0492,1.0827,0.5321,0.0
179,18.6529,11.8123,3.2652,1.6514,0.993,1.0691,0.5279,0.0
180,18.4141,11.7922,3.2084,1.4595,0.863,1.0554,0.4583,0.0
181,18.8038,11.8985,3.2377,1.6932,0.937,1.0777,0.4307,0.0
182,18.472,11.825,3.1946,1.4714,0.8534,1.0587,0.4971,0.0
183,17.5419,11.7751,3.1882,1.3607,0.6866,1.0054,0.4635,0.0
184,18.4755,11.8488,3.1728,1.5925,1.0171,1.0589,0.4256,0.0
185,18.7341,11.8499,3.1791,1.7148,0.968,1.0737,0.5131,0.0
186,17.577,11.8007,3.2466,1.4621,0.7435,1.0074,0.4419,0.0
187,17.6487,11.7465,3.2353,1.5086,0.8895,1.0115,0.4529,0.0
188,18.0678,11.6998,3.2067,1.5318,1.0366,1.0355,0.5053,0.0
189,18.264,11.8102,3.2188,1.6287,0.9003,1.0468,0.5148,0.0
190,18.5503,11.7883,3.2666,1.5419,1.033,1.0632,0.4743,0.0
191,18.4522,11.824,3.2971,1.8308,1.0641,1.0576,0.4955,0.0
192,18.3194,11.7194,3.2427,1.5871,0.9655,1.0499,0.4818,0.0
193,17.4678,11.7233,3.1633,1.3787,0.856,1.0011,0.4682,0.0
194,18.1609,11.8383,3.1572,1.6564,0.9836,1.0409,0.4849,0.0
195,17.8705,11.748,3.1542,1.732,0.9867,1.0242,0.4251,0.0
196,17.3888,11.7286,3.063,1.5486,0.8679,0.9966,0.4169,0.0
197,17.4784,11.7103,3.115,1.3864,0.8203,1.0017,0.3053,0.0036
198,18.0298,11.7481,3.1946,1.5855,0.9396,1.0333,0.4802,0.0
199,18.5609,11.7629,3.2215,1.4963,0.959,1.0638,0.4745,0.0
200,18.4246,11.7629,3.2475,1.5,0.9192,1.056,0.4307,0.0
